Id,ClientStart,MasterStart,MasterCommit,ClientEnd,SlaveStart,SlaveCommit,MasterEnd,Latency (ClientEnd – ClientStart),Staleness (SlaveCommit – MasterCommit)
1,13:56:06.055,13:56:06.253,13:56:06.257,13:56:06.242,13:56:06.348,13:56:06.351,13:56:06.388,00:00:00.187,00:00:00.094
2,13:56:06.901,13:56:07.072,13:56:07.073,13:56:07.054,13:56:07.090,13:56:07.090,13:56:07.125,00:00:00.153,00:00:00.017
3,13:56:07.901,13:56:08.074,13:56:08.074,13:56:08.056,13:56:08.090,13:56:08.090,13:56:08.125,00:00:00.155,00:00:00.016
4,13:56:08.901,13:56:09.206,13:56:09.207,13:56:09.225,13:56:09.222,13:56:09.222,13:56:09.260,00:00:00.324,00:00:00.015
5,13:56:09.901,13:56:10.101,13:56:10.102,13:56:10.083,13:56:10.080,13:56:10.081,13:56:10.115,00:00:00.182,23:59:59.979
6,13:56:10.901,13:56:11.074,13:56:11.075,13:56:11.056,13:56:11.090,13:56:11.090,13:56:11.132,00:00:00.155,00:00:00.015
7,13:56:11.901,13:56:12.123,13:56:12.124,13:56:12.123,13:56:12.138,13:56:12.140,13:56:12.175,00:00:00.222,00:00:00.016
8,13:56:12.902,13:56:13.112,13:56:13.113,13:56:13.094,13:56:13.090,13:56:13.091,13:56:13.126,00:00:00.192,23:59:59.978
9,13:56:13.901,13:56:14.116,13:56:14.116,13:56:14.098,13:56:14.134,13:56:14.135,13:56:14.169,00:00:00.197,00:00:00.019
10,13:56:14.901,13:56:15.076,13:56:15.077,13:56:15.058,13:56:15.051,13:56:15.052,13:56:15.087,00:00:00.157,23:59:59.975
11,13:56:15.902,13:56:16.073,13:56:16.073,13:56:16.055,13:56:16.090,13:56:16.090,13:56:16.125,00:00:00.153,00:00:00.017
12,13:56:16.903,13:56:17.140,13:56:17.140,13:56:17.169,13:56:17.158,13:56:17.158,13:56:17.193,00:00:00.266,00:00:00.018
13,13:56:17.901,13:56:18.111,13:56:18.112,13:56:18.092,13:56:18.126,13:56:18.126,13:56:18.161,00:00:00.191,00:00:00.014
14,13:56:18.901,13:56:19.058,13:56:19.059,13:56:19.040,13:56:19.033,13:56:19.033,13:56:19.071,00:00:00.139,23:59:59.974
15,13:56:19.901,13:56:20.071,13:56:20.072,13:56:20.051,13:56:20.090,13:56:20.090,13:56:20.125,00:00:00.150,00:00:00.018
16,13:56:20.902,13:56:21.057,13:56:21.058,13:56:21.038,13:56:21.078,13:56:21.079,13:56:21.115,00:00:00.136,00:00:00.021
17,13:56:21.902,13:56:22.079,13:56:22.079,13:56:22.078,13:56:22.094,13:56:22.094,13:56:22.130,00:00:00.176,00:00:00.015
18,13:56:22.902,13:56:23.109,13:56:23.110,13:56:23.097,13:56:23.126,13:56:23.126,13:56:23.161,00:00:00.195,00:00:00.016
19,13:56:23.902,13:56:24.096,13:56:24.096,13:56:24.076,13:56:24.114,13:56:24.115,13:56:24.150,00:00:00.174,00:00:00.019
20,13:56:24.902,13:56:25.100,13:56:25.104,13:56:25.086,13:56:25.122,13:56:25.122,13:56:25.158,00:00:00.184,00:00:00.018
21,13:56:25.902,13:56:26.096,13:56:26.097,13:56:26.093,13:56:26.114,13:56:26.114,13:56:26.149,00:00:00.191,00:00:00.017
22,13:56:26.902,13:56:27.111,13:56:27.112,13:56:27.090,13:56:27.126,13:56:27.126,13:56:27.161,00:00:00.188,00:00:00.014
23,13:56:27.902,13:56:28.079,13:56:28.081,13:56:28.062,13:56:28.055,13:56:28.056,13:56:28.091,00:00:00.160,23:59:59.975
24,13:56:28.902,13:56:29.052,13:56:29.053,13:56:29.033,13:56:29.070,13:56:29.070,13:56:29.105,00:00:00.131,00:00:00.017
25,13:56:29.902,13:56:30.116,13:56:30.116,13:56:30.097,13:56:30.134,13:56:30.134,13:56:30.170,00:00:00.195,00:00:00.018
26,13:56:30.902,13:56:31.059,13:56:31.060,13:56:31.043,13:56:31.074,13:56:31.074,13:56:31.110,00:00:00.141,00:00:00.014
27,13:56:31.902,13:56:32.116,13:56:32.120,13:56:32.101,13:56:32.138,13:56:32.138,13:56:32.173,00:00:00.199,00:00:00.018
28,13:56:32.902,13:56:33.060,13:56:33.061,13:56:33.041,13:56:33.078,13:56:33.078,13:56:33.118,00:00:00.139,00:00:00.017
29,13:56:33.902,13:56:34.115,13:56:34.115,13:56:34.095,13:56:34.134,13:56:34.137,13:56:34.172,00:00:00.193,00:00:00.022
30,13:56:34.903,13:56:35.069,13:56:35.069,13:56:35.047,13:56:35.082,13:56:35.082,13:56:35.117,00:00:00.144,00:00:00.013
31,13:56:35.903,13:56:36.075,13:56:36.076,13:56:36.056,13:56:36.090,13:56:36.090,13:56:36.125,00:00:00.153,00:00:00.014
32,13:56:36.903,13:56:37.116,13:56:37.118,13:56:37.098,13:56:37.099,13:56:37.101,13:56:37.136,00:00:00.195,23:59:59.983
33,13:56:37.903,13:56:38.109,13:56:38.109,13:56:38.090,13:56:38.081,13:56:38.083,13:56:38.117,00:00:00.187,23:59:59.974
34,13:56:38.903,13:56:39.075,13:56:39.080,13:56:39.069,13:56:39.055,13:56:39.055,13:56:39.090,00:00:00.166,23:59:59.975
35,13:56:39.903,13:56:40.061,13:56:40.062,13:56:40.058,13:56:40.078,13:56:40.080,13:56:40.116,00:00:00.155,00:00:00.018
36,13:56:40.903,13:56:41.111,13:56:41.112,13:56:41.092,13:56:41.126,13:56:41.126,13:56:41.161,00:00:00.189,00:00:00.014
37,13:56:41.903,13:56:42.124,13:56:42.126,13:56:42.106,13:56:42.142,13:56:42.143,13:56:42.178,00:00:00.203,00:00:00.017
38,13:56:42.903,13:56:43.072,13:56:43.073,13:56:43.066,13:56:43.094,13:56:43.094,13:56:43.130,00:00:00.163,00:00:00.021
39,13:56:43.903,13:56:44.059,13:56:44.059,13:56:44.054,13:56:44.074,13:56:44.074,13:56:44.109,00:00:00.151,00:00:00.015
40,13:56:44.903,13:56:45.117,13:56:45.118,13:56:45.098,13:56:45.134,13:56:45.134,13:56:45.169,00:00:00.195,00:00:00.016
41,13:56:45.903,13:56:46.068,13:56:46.069,13:56:46.071,13:56:46.078,13:56:46.078,13:56:46.114,00:00:00.168,00:00:00.009
42,13:56:46.903,13:56:47.158,13:56:47.158,13:56:47.138,13:56:47.127,13:56:47.128,13:56:47.166,00:00:00.235,23:59:59.970
43,13:56:47.903,13:56:48.074,13:56:48.074,13:56:48.057,13:56:48.090,13:56:48.090,13:56:48.128,00:00:00.154,00:00:00.016
44,13:56:48.903,13:56:49.063,13:56:49.063,13:56:49.042,13:56:49.074,13:56:49.075,13:56:49.110,00:00:00.139,00:00:00.012
45,13:56:49.903,13:56:50.073,13:56:50.074,13:56:50.055,13:56:50.094,13:56:50.094,13:56:50.129,00:00:00.152,00:00:00.020
46,13:56:50.903,13:56:51.028,13:56:51.029,13:56:51.008,13:56:51.042,13:56:51.042,13:56:51.077,00:00:00.105,00:00:00.013
47,13:56:51.904,13:56:52.099,13:56:52.100,13:56:52.079,13:56:52.109,13:56:52.110,13:56:52.145,00:00:00.175,00:00:00.010
48,13:56:52.904,13:56:53.105,13:56:53.106,13:56:53.085,13:56:53.118,13:56:53.118,13:56:53.154,00:00:00.181,00:00:00.012
49,13:56:53.904,13:56:54.029,13:56:54.030,13:56:54.008,13:56:54.042,13:56:54.042,13:56:54.077,00:00:00.104,00:00:00.012
50,13:56:54.904,13:56:55.121,13:56:55.122,13:56:55.101,13:56:55.134,13:56:55.134,13:56:55.169,00:00:00.197,00:00:00.012
51,13:56:55.904,13:56:56.108,13:56:56.108,13:56:56.086,13:56:56.122,13:56:56.122,13:56:56.157,00:00:00.182,00:00:00.014
52,13:56:56.904,13:56:57.073,13:56:57.076,13:56:57.059,13:56:57.094,13:56:57.094,13:56:57.129,00:00:00.155,00:00:00.018
53,13:56:57.904,13:56:58.105,13:56:58.106,13:56:58.086,13:56:58.118,13:56:58.118,13:56:58.153,00:00:00.182,00:00:00.012
54,13:56:58.904,13:56:59.060,13:56:59.061,13:56:59.039,13:56:59.074,13:56:59.074,13:56:59.109,00:00:00.135,00:00:00.013
55,13:56:59.904,13:57:00.031,13:57:00.031,13:57:00.010,13:57:00.042,13:57:00.042,13:57:00.078,00:00:00.106,00:00:00.011
56,13:57:00.904,13:57:01.104,13:57:01.104,13:57:01.082,13:57:01.114,13:57:01.114,13:57:01.150,00:00:00.178,00:00:00.010
57,13:57:01.904,13:57:02.159,13:57:02.160,13:57:02.173,13:57:02.174,13:57:02.174,13:57:02.210,00:00:00.269,00:00:00.014
58,13:57:02.904,13:57:03.077,13:57:03.080,13:57:03.058,13:57:03.090,13:57:03.090,13:57:03.126,00:00:00.154,00:00:00.010
59,13:57:03.904,13:57:04.100,13:57:04.102,13:57:04.079,13:57:04.113,13:57:04.114,13:57:04.150,00:00:00.175,00:00:00.012
60,13:57:04.904,13:57:05.064,13:57:05.064,13:57:05.043,13:57:05.078,13:57:05.078,13:57:05.114,00:00:00.139,00:00:00.014
61,13:57:05.904,13:57:06.072,13:57:06.072,13:57:06.049,13:57:06.082,13:57:06.082,13:57:06.118,00:00:00.145,00:00:00.010
62,13:57:06.905,13:57:07.063,13:57:07.063,13:57:07.041,13:57:07.074,13:57:07.074,13:57:07.110,00:00:00.136,00:00:00.011
63,13:57:07.905,13:57:08.075,13:57:08.076,13:57:08.053,13:57:08.086,13:57:08.086,13:57:08.123,00:00:00.148,00:00:00.010
64,13:57:08.905,13:57:09.092,13:57:09.093,13:57:09.071,13:57:09.106,13:57:09.108,13:57:09.145,00:00:00.166,00:00:00.015
65,13:57:09.905,13:57:10.209,13:57:10.210,13:57:10.212,13:57:10.222,13:57:10.222,13:57:10.259,00:00:00.307,00:00:00.012
66,13:57:10.905,13:57:11.077,13:57:11.077,13:57:11.055,13:57:11.086,13:57:11.086,13:57:11.122,00:00:00.150,00:00:00.009
67,13:57:11.906,13:57:12.068,13:57:12.069,13:57:12.047,13:57:12.082,13:57:12.082,13:57:12.118,00:00:00.141,00:00:00.013
68,13:57:12.905,13:57:13.040,13:57:13.041,13:57:13.020,13:57:13.062,13:57:13.062,13:57:13.098,00:00:00.115,00:00:00.021
69,13:57:13.905,13:57:14.040,13:57:14.040,13:57:14.020,13:57:14.058,13:57:14.058,13:57:14.094,00:00:00.115,00:00:00.018
70,13:57:14.906,13:57:15.064,13:57:15.064,13:57:15.042,13:57:15.074,13:57:15.074,13:57:15.110,00:00:00.136,00:00:00.010
71,13:57:15.906,13:57:16.039,13:57:16.040,13:57:16.016,13:57:16.054,13:57:16.054,13:57:16.090,00:00:00.110,00:00:00.014
72,13:57:16.906,13:57:17.119,13:57:17.120,13:57:17.097,13:57:17.130,13:57:17.130,13:57:17.166,00:00:00.191,00:00:00.010
73,13:57:17.906,13:57:18.033,13:57:18.034,13:57:18.012,13:57:18.046,13:57:18.046,13:57:18.082,00:00:00.106,00:00:00.012
74,13:57:18.906,13:57:19.079,13:57:19.080,13:57:19.057,13:57:19.090,13:57:19.090,13:57:19.126,00:00:00.151,00:00:00.010
75,13:57:19.907,13:57:20.065,13:57:20.066,13:57:20.043,13:57:20.078,13:57:20.078,13:57:20.116,00:00:00.136,00:00:00.012
76,13:57:20.907,13:57:21.066,13:57:21.067,13:57:21.044,13:57:21.078,13:57:21.079,13:57:21.115,00:00:00.137,00:00:00.012
77,13:57:21.907,13:57:22.070,13:57:22.070,13:57:22.048,13:57:22.082,13:57:22.082,13:57:22.118,00:00:00.141,00:00:00.012
78,13:57:22.908,13:57:23.065,13:57:23.066,13:57:23.046,13:57:23.078,13:57:23.078,13:57:23.114,00:00:00.138,00:00:00.012
79,13:57:23.908,13:57:24.083,13:57:24.083,13:57:24.061,13:57:24.094,13:57:24.094,13:57:24.132,00:00:00.153,00:00:00.011
80,13:57:24.908,13:57:25.066,13:57:25.066,13:57:25.044,13:57:25.078,13:57:25.078,13:57:25.117,00:00:00.136,00:00:00.012
81,13:57:25.908,13:57:26.067,13:57:26.071,13:57:26.049,13:57:26.082,13:57:26.082,13:57:26.120,00:00:00.141,00:00:00.011
82,13:57:26.908,13:57:27.086,13:57:27.087,13:57:27.145,13:57:27.057,13:57:27.057,13:57:27.093,00:00:00.237,23:59:59.970
83,13:57:27.908,13:57:28.062,13:57:28.067,13:57:28.044,13:57:28.078,13:57:28.078,13:57:28.114,00:00:00.136,00:00:00.011
84,13:57:28.908,13:57:29.336,13:57:29.336,13:57:29.312,13:57:29.346,13:57:29.346,13:57:29.382,00:00:00.404,00:00:00.010
85,13:57:29.908,13:57:30.050,13:57:30.051,13:57:30.029,13:57:30.066,13:57:30.066,13:57:30.102,00:00:00.121,00:00:00.015
86,13:57:30.908,13:57:31.125,13:57:31.125,13:57:31.103,13:57:31.138,13:57:31.138,13:57:31.174,00:00:00.195,00:00:00.013
87,13:57:31.908,13:57:32.105,13:57:32.105,13:57:32.081,13:57:32.114,13:57:32.114,13:57:32.150,00:00:00.173,00:00:00.009
88,13:57:32.908,13:57:33.068,13:57:33.069,13:57:33.046,13:57:33.078,13:57:33.078,13:57:33.114,00:00:00.138,00:00:00.009
89,13:57:33.908,13:57:34.091,13:57:34.091,13:57:34.067,13:57:34.101,13:57:34.102,13:57:34.138,00:00:00.159,00:00:00.011
90,13:57:34.909,13:57:35.081,13:57:35.081,13:57:35.058,13:57:35.090,13:57:35.090,13:57:35.126,00:00:00.149,00:00:00.009
91,13:57:35.909,13:57:36.066,13:57:36.066,13:57:36.044,13:57:36.079,13:57:36.081,13:57:36.117,00:00:00.135,00:00:00.015
92,13:57:36.909,13:57:37.286,13:57:37.288,13:57:37.306,13:57:37.298,13:57:37.298,13:57:37.334,00:00:00.397,00:00:00.010
93,13:57:37.909,13:57:38.069,13:57:38.070,13:57:38.047,13:57:38.082,13:57:38.082,13:57:38.118,00:00:00.138,00:00:00.012
94,13:57:38.909,13:57:39.069,13:57:39.070,13:57:39.046,13:57:39.077,13:57:39.078,13:57:39.115,00:00:00.137,00:00:00.008
95,13:57:39.910,13:57:42.033,13:57:42.033,13:57:42.252,13:57:42.042,13:57:42.042,13:57:42.079,00:00:02.342,00:00:00.009
96,13:57:42.252,13:57:42.621,13:57:42.621,13:57:42.598,13:57:42.634,13:57:42.635,13:57:42.672,00:00:00.346,00:00:00.014
97,13:57:43.252,13:57:43.677,13:57:43.677,13:57:43.654,13:57:43.686,13:57:43.686,13:57:43.722,00:00:00.402,00:00:00.009
98,13:57:44.252,13:57:44.421,13:57:44.421,13:57:44.396,13:57:44.430,13:57:44.430,13:57:44.466,00:00:00.144,00:00:00.009
99,13:57:45.253,13:57:45.380,13:57:45.380,13:57:45.524,13:57:45.394,13:57:45.394,13:57:45.430,00:00:00.271,00:00:00.014
